Log Number,Local Time,Elapsed Time,Value
118,23:04:22,00:03.5,Distance in cm : 371.38       
119,23:04:22,00:03.5,Distance in cm : 371.03       
120,23:04:22,00:03.5,Distance in cm : 371.81       
121,23:04:22,00:03.6,Distance in cm : 370.94       
122,23:04:22,00:03.6,Distance in cm : 371.50       
123,23:04:22,00:03.6,Distance in cm : 371.42       
124,23:04:22,00:03.6,Distance in cm : 371.50       
125,23:04:22,00:03.7,Distance in cm : 372.23       
126,23:04:22,00:03.7,Distance in cm : 374.77       
127,23:04:22,00:03.7,Distance in cm : 371.06       
128,23:04:22,00:03.7,Distance in cm : 372.23       
129,23:04:22,00:03.8,Distance in cm : 371.06       
130,23:04:22,00:03.8,Distance in cm : 373.51       
131,23:04:22,00:03.8,Distance in cm : 371.81       
132,23:04:22,00:03.9,Distance in cm : 371.48       
133,23:04:22,00:03.9,Distance in cm : 370.96       
134,23:04:22,00:03.9,Distance in cm : 371.50       
135,23:04:22,00:03.9,Distance in cm : 371.40       
136,23:04:22,00:04.0,Distance in cm : 371.38       
137,23:04:22,00:04.0,Distance in cm : 372.33       
138,23:04:22,00:04.0,Distance in cm : 370.94       
139,23:04:22,00:04.0,Distance in cm : 372.25       
140,23:04:22,00:04.1,Distance in cm : 372.22       
141,23:04:22,00:04.1,Distance in cm : 371.77       
142,23:04:22,00:04.1,Distance in cm : 373.17       
143,23:04:22,00:04.1,Distance in cm : 372.23       
144,23:04:22,00:04.2,Distance in cm : 372.22       
145,23:04:22,00:04.2,Distance in cm : 373.07       
146,23:04:22,00:04.2,Distance in cm : 373.49       
147,23:04:22,00:04.2,Distance in cm : 374.39       
148,23:04:22,00:04.3,Distance in cm : 372.61       
149,23:04:22,00:04.3,Distance in cm : 372.18       
150,23:04:22,00:04.3,Distance in cm : 372.30       
151,23:04:22,00:04.3,Distance in cm : 372.23       
152,23:04:22,00:04.4,Distance in cm : 372.33       
153,23:04:22,00:04.4,Distance in cm : 371.35       
154,23:04:22,00:04.4,Distance in cm : 372.23       
155,23:04:23,00:04.4,Distance in cm : 371.47       
156,23:04:23,00:04.5,Distance in cm : 374.34       
157,23:04:23,00:04.5,Distance in cm : 374.02       
158,23:04:23,00:04.5,Distance in cm : 371.37       
159,23:04:23,00:04.6,Distance in cm : 371.37       
160,23:04:23,00:04.6,Distance in cm : 372.74       
161,23:04:23,00:04.6,Distance in cm : 373.49       
162,23:04:23,00:04.6,Distance in cm : 372.25       
163,23:04:23,00:04.7,Distance in cm : 371.81       
164,23:04:23,00:04.7,Distance in cm : 371.81       
165,23:04:23,00:04.7,Distance in cm : 371.48       
166,23:04:23,00:04.7,Distance in cm : 371.82       
167,23:04:23,00:04.8,Distance in cm : 371.81       
168,23:04:23,00:04.8,Distance in cm : 371.50       
169,23:04:23,00:04.8,Distance in cm : 374.36       
170,23:04:23,00:04.8,Distance in cm : 373.20       
171,23:04:23,00:04.9,Distance in cm : 372.23       
172,23:04:23,00:04.9,Distance in cm : 371.81       
173,23:04:23,00:04.9,Distance in cm : 371.47       
174,23:04:23,00:04.9,Distance in cm : 373.08       
175,23:04:23,00:05.0,Distance in cm : 374.46       
176,23:04:23,00:05.0,Distance in cm : 373.08       
177,23:04:23,00:05.0,Distance in cm : 372.25       
178,23:04:23,00:05.0,Distance in cm : 371.04       
179,23:04:23,00:05.1,Distance in cm : 372.67       
180,23:04:23,00:05.1,Distance in cm : 372.27       
181,23:04:23,00:05.1,Distance in cm : 372.22       
182,23:04:23,00:05.2,Distance in cm : 372.23       
183,23:04:23,00:05.2,Distance in cm : 372.32       
184,23:04:23,00:05.2,Distance in cm : 373.07       
185,23:04:23,00:05.2,Distance in cm : 373.07       
186,23:04:23,00:05.3,Distance in cm : 373.47       
187,23:04:23,00:05.3,Distance in cm : 372.22       
188,23:04:23,00:05.3,Distance in cm : 373.17       
189,23:04:23,00:05.3,Distance in cm : 372.23       
190,23:04:23,00:05.4,Distance in cm : 372.22       
191,23:04:23,00:05.4,Distance in cm : 374.34       
192,23:04:23,00:05.4,Distance in cm : 373.49       
193,23:04:23,00:05.4,Distance in cm : 372.74       
194,23:04:24,00:05.5,Distance in cm : 372.64       
